Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	1932.0	20752373	-0.232	29.402
miRNA	28.0	31126	3.040	-36.876
ncRNA	1121.0	3439613	1.576	-484.355
TTS	3727.0	27185895	0.326	-92.963
pseudo	34.0	543942	-0.807	8.345
Exon	5069.0	34546161	0.424	-205.995
Intron	106341.0	947826899	0.037	-58.110
Intergenic	102729.0	1564371659	-0.736	32908.446
Promoter	63094.0	30074266	4.262	-133375.754
5UTR	3623.0	2355321	3.814	-6238.048
snoRNA	0.0	19	-0.003	0.002
rRNA	0.0	5631	-0.692	0.616
Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	1932.0	20752373	-0.231	29.250
Other	948.0	7154386	0.278	-19.181
RC?	0.0	10979	-1.137	1.200
RNA	15.0	113962	0.268	-1.307
miRNA	28.0	31126	3.041	-36.887
ncRNA	1120.0	3439613	1.575	-483.587
TTS	3727.0	27185895	0.327	-93.300
LINE	7291.0	521328011	-2.966	39705.073
LINE?	0.0	8168	-0.920	0.893
srpRNA	0.0	43307	-2.519	4.733
SINE	8685.0	193792672	-1.286	5046.472
RC	0.0	65629	-3.031	7.173
tRNA	328.0	266330	3.494	-499.394
DNA?	30.0	142070	0.950	-7.239
pseudo	34.0	543942	-0.806	8.334
DNA	3532.0	28360381	0.188	-32.090
Exon	5066.0	34546161	0.424	-205.672
Intron	83899.0	601789896	0.351	-3061.626
Intergenic	79126.0	784384105	-0.116	372.100
Promoter	63080.0	30074266	4.262	-133356.898
5UTR	3618.0	2355321	3.813	-6226.245
snoRNA	0.0	19	-0.003	0.002
LTR?	32.0	192563	0.605	-4.162
scRNA	17.0	577291	-1.892	25.839
CpG-Island	10018.0	3109005	4.882	-24390.787
Low_complexity	246.0	18496711	-3.039	1266.508
LTR	14395.0	293053184	-1.154	6721.426
Simple_repeat	343.0	55295419	-4.139	4777.563
snRNA	30.0	237155	0.211	-1.445
Unknown	72.0	1234800	-0.906	20.041
SINE?	7.0	29758	1.106	-3.039
Satellite	98.0	3763222	-2.069	175.849
rRNA	9.0	165655	-1.008	4.232
