## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_ER1/mapped/C2C12_MB_ER1.sort.bam] OUTPUT=/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_ER1/mapped/C2C12_MB_ER1.sort.nodup.bam METRICS_FILE=/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_ER1/mapped/C2C12_MB_ER1.duplicates_metric.txt REMOVE_DUPLICATES=true    PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates ASSUME_SORTED=false MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Mon Mar 15 13:49:43 PDT 2021

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	643536	40505453	4701106	473401	6393460	1011973	0.162396	131429338

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.021882
2.0	1.772735
3.0	2.324442
4.0	2.729822
5.0	3.027686
6.0	3.246548
7.0	3.407362
8.0	3.525524
9.0	3.612347
10.0	3.676142
11.0	3.723017
12.0	3.757459
13.0	3.782767
14.0	3.801362
15.0	3.815025
16.0	3.825065
17.0	3.832441
18.0	3.837862
19.0	3.841844
20.0	3.844771
21.0	3.846921
22.0	3.848501
23.0	3.849662
24.0	3.850515
25.0	3.851141
26.0	3.851602
27.0	3.85194
28.0	3.852189
29.0	3.852372
30.0	3.852506
31.0	3.852604
32.0	3.852677
33.0	3.85273
34.0	3.852769
35.0	3.852798
36.0	3.852819
37.0	3.852835
38.0	3.852846
39.0	3.852855
40.0	3.852861
41.0	3.852865
42.0	3.852869
43.0	3.852871
44.0	3.852873
45.0	3.852874
46.0	3.852875
47.0	3.852876
48.0	3.852876
49.0	3.852877
50.0	3.852877
51.0	3.852877
52.0	3.852877
53.0	3.852877
54.0	3.852877
55.0	3.852878
56.0	3.852878
57.0	3.852878
58.0	3.852878
59.0	3.852878
60.0	3.852878
61.0	3.852878
62.0	3.852878
63.0	3.852878
64.0	3.852878
65.0	3.852878
66.0	3.852878
67.0	3.852878
68.0	3.852878
69.0	3.852878
70.0	3.852878
71.0	3.852878
72.0	3.852878
73.0	3.852878
74.0	3.852878
75.0	3.852878
76.0	3.852878
77.0	3.852878
78.0	3.852878
79.0	3.852878
80.0	3.852878
81.0	3.852878
82.0	3.852878
83.0	3.852878
84.0	3.852878
85.0	3.852878
86.0	3.852878
87.0	3.852878
88.0	3.852878
89.0	3.852878
90.0	3.852878
91.0	3.852878
92.0	3.852878
93.0	3.852878
94.0	3.852878
95.0	3.852878
96.0	3.852878
97.0	3.852878
98.0	3.852878
99.0	3.852878
100.0	3.852878

