## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_IR2/mapped/C2C12_MB_IR2.sort.bam] OUTPUT=/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_IR2/mapped/C2C12_MB_IR2.sort.nodup.bam METRICS_FILE=/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_IR2/mapped/C2C12_MB_IR2.duplicates_metric.txt REMOVE_DUPLICATES=true    PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates ASSUME_SORTED=false MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Thu Mar 11 14:15:10 PST 2021

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	677304	42167046	4694986	493994	7078515	1085044	0.172342	126741746

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.022267
2.0	1.755216
3.0	2.28073
4.0	2.657515
5.0	2.927665
6.0	3.121358
7.0	3.260233
8.0	3.359804
9.0	3.431195
10.0	3.482382
11.0	3.519082
12.0	3.545395
13.0	3.564261
14.0	3.577788
15.0	3.587486
16.0	3.59444
17.0	3.599426
18.0	3.603
19.0	3.605563
20.0	3.607401
21.0	3.608718
22.0	3.609663
23.0	3.61034
24.0	3.610826
25.0	3.611174
26.0	3.611424
27.0	3.611603
28.0	3.611731
29.0	3.611823
30.0	3.611889
31.0	3.611936
32.0	3.61197
33.0	3.611995
34.0	3.612012
35.0	3.612025
36.0	3.612033
37.0	3.61204
38.0	3.612045
39.0	3.612048
40.0	3.61205
41.0	3.612052
42.0	3.612053
43.0	3.612054
44.0	3.612055
45.0	3.612055
46.0	3.612055
47.0	3.612056
48.0	3.612056
49.0	3.612056
50.0	3.612056
51.0	3.612056
52.0	3.612056
53.0	3.612056
54.0	3.612056
55.0	3.612056
56.0	3.612056
57.0	3.612056
58.0	3.612056
59.0	3.612056
60.0	3.612056
61.0	3.612056
62.0	3.612056
63.0	3.612056
64.0	3.612056
65.0	3.612056
66.0	3.612056
67.0	3.612056
68.0	3.612056
69.0	3.612056
70.0	3.612056
71.0	3.612056
72.0	3.612056
73.0	3.612056
74.0	3.612056
75.0	3.612056
76.0	3.612056
77.0	3.612056
78.0	3.612056
79.0	3.612056
80.0	3.612056
81.0	3.612056
82.0	3.612056
83.0	3.612056
84.0	3.612056
85.0	3.612056
86.0	3.612056
87.0	3.612056
88.0	3.612056
89.0	3.612056
90.0	3.612056
91.0	3.612056
92.0	3.612056
93.0	3.612056
94.0	3.612056
95.0	3.612056
96.0	3.612056
97.0	3.612056
98.0	3.612056
99.0	3.612056
100.0	3.612056

