#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr17-2	chr17	39843901	39844401	+	4068.8	0.544	1993.0	14.84	0.0	0.47
chr17-3	chr17	39843901	39844401	+	4012.0	0.533	1970.5	14.6	0.0	0.48
chr17-5	chr17	39843147	39843647	+	3949.8	0.529	1930.0	14.34	0.0	0.49
chr17-11	chr17	39843147	39843647	+	3848.1	0.628	1808.5	13.92	0.0	0.53
chr17-4	chr17	39843863	39844363	+	3837.1	0.527	1964.5	13.87	0.0	0.48
chr17-6	chr17	39844470	39844970	+	3800.8	0.503	1873.0	13.72	0.0	0.51
chr17-8	chr17	39845160	39845660	+	3128.9	0.515	1840.0	11.03	0.0	0.51
chr17-1	chr17	39844918	39845418	+	3023.4	0.505	2231.5	10.61	0.0	0.41
chr17-13	chr17	39845692	39846192	+	2974.5	0.515	1780.5	10.42	0.0	0.52
chr17-10	chr17	39846104	39846604	+	2973.0	0.498	1838.5	10.42	0.0	0.5
chr17-12	chr17	39845692	39846192	+	2919.0	0.515	1782.0	10.21	0.0	0.52
chr17-7	chr17	39846104	39846604	+	2784.0	0.523	1847.0	9.69	0.0	0.5
chr17-9	chr17	39846104	39846604	+	2715.4	0.543	1839.5	9.43	0.0	0.5
chr17-16	chr17	39847606	39848106	+	2407.6	0.549	1616.0	8.27	0.0	0.58
chr17-14	chr17	39847772	39848272	+	2308.7	0.54	1774.0	7.9	0.0	0.52
chr17-512	chr17	39843099	39843599	+	2153.9	0.69	507.5	7.34	0.0	0.83
chr17-15	chr17	39847927	39848427	+	2089.5	0.591	1745.5	7.1	0.0	0.53
chrUn_JH584304-1	chrUn_JH584304	59511	60011	+	2048.4	0.68	1699.5	171.44	0.0	0.54
chr8-1	chr8	95012418	95012918	+	1877.7	0.644	1645.5	72.84	0.0	0.55
chr8-2	chr8	84066518	84067018	+	1797.8	0.657	1556.0	150.39	0.0	0.59
chr15-1	chr15	102405694	102406194	+	1597.5	0.596	1535.5	98.45	0.0	0.59
chr15-2	chr15	102405694	102406194	+	1596.5	0.587	1529.5	98.32	0.0	0.59
chr8-3	chr8	84192043	84192543	+	1547.1	0.681	1513.0	17.75	0.0	0.59
chr17-2802	chr17	39843027	39843527	+	1546.0	0.703	101.5	5.16	0.0	1.09
chr11-1	chr11	87591766	87592266	+	1427.3	0.69	1472.5	314.86	0.0	0.62
chr1-1	chr1	75317420	75317920	+	1422.4	0.687	1468.5	303.32	0.0	0.62
chr5-1	chr5	125268437	125268937	+	1312.4	0.658	1456.0	79.13	0.0	0.62
chr17-17	chr17	56078968	56079468	+	1310.8	0.613	1465.5	143.17	0.0	0.62
chr15-7	chr15	8806277	8806777	+	1270.1	0.735	1326.0	489.13	0.0	0.67
chr14-2	chr14	67715583	67716083	+	1266.0	0.634	1412.5	233.49	0.0	0.63
chr15-3	chr15	77842236	77842736	+	1262.9	0.666	1433.5	63.83	0.0	0.63
chr10-1	chr10	80701941	80702441	+	1255.2	0.639	1386.5	104.11	0.0	0.65
chr8-5	chr8	84198317	84198817	+	1244.3	0.652	1361.0	13.87	0.0	0.65
chr8-6	chr8	83955271	83955771	+	1229.8	0.712	1351.5	88.19	0.0	0.65
chr5-2	chr5	135545165	135545665	+	1214.5	0.695	1436.0	119.2	0.0	0.63
chr5-3	chr5	34535038	34535538	+	1187.1	0.637	1376.5	77.03	0.0	0.66
chr17-19	chr17	25919790	25920290	+	1184.5	0.65	1344.5	200.79	0.0	0.66
